"CP General","Allgemein"
"CP General Settings","Allgemeine Einstellungen"
"CP Activate backendnews?","Backendnews aktivieren?"
"CP Should the IP for API access be checked?","Soll die IP beim API-Zugriff überprüft werden?"
"CP Articlenumber","Artikelnummer"
"CP This applies to the tracking as well as the marketplace integration or the repricing.","Dies gilt für das Tracking sowie die Marktplatzanbindung und die Preissteuerung."

"CP Tracking","Tracking"
"CP Tracking Settings","Tracking Einstellungen"
"CP Cookiemode","Cookiemodus"
"CP Trackingkeys","Trackingkeys"
"CP Shop","Shop"
"CP TrackingKey","TrackingKey"

"CP Data Feed Export","Export"
"CP Export Settings","Export konfigurieren"
"CP Password","Passwort"
"CP Protect your data feed with a password. For example: 'www.testshop.com/channelpilot?password=12345'","Schützen Sie Ihren Produktkatalog mit einem Passwort. Zum Beispiel: 'www.testshop.com/channelpilot?password=12345'"
"CP Select data fields","Datenfelder auswählen"
"CP Data field","Datenfeld"
"CP Select the data fields you want to provide on ChannelPilot. Some product attributes are always included. (Entity_Id, Sku, name, description, price, manufacturer, color, categories, product_url, image_url, additional_image_1, additional_image_2, additional_image_3, weight)","Wählen Sie die Datenfelder aus, die Sie ChannelPilot bereitstellen möchten. Einige Datenfelder sind immer im Produktkatalog enthalten. (Entity_Id, Sku, name, description, price, manufacturer, color, categories, product_url, image_url, additional_image_1, additional_image_2, additional_image_3, weight)"
"CP Create static data fields","Statische Datenfelder erstellen"
"CP Data field name","Datenfeld Name"
"CP Data field value","Datenfeld Wert"
"CP Set up additional data fields. These fields have for every product the same value. E.g. for additional delivery costs.","Richten Sie zusätzliche Datenfelder ein, die für jedes Produkt einen statischen Wert haben. Z.B. für zusätzliche Versandkosten."
"CP Product variant data fields","Variantenfelder anpassen"
"CP Select the data fields you want to be overwritten by the respective value of the parent article.","Wählen Sie die Datenfelder die vom Datenfeld des Parentartikel überschrieben werden sollen."
"CP Number additional productimages","Anzahl zusätzlicher Produktbilder"
"CP How many additional productimages should be exported?","Wieviele zusätzliche Produktbilder sollen exportiert werden?"

"CP Marketplace Integration","Marktplatzanbindung"
"CP Marketplace Integration Settings","Marktplatzanbindung Einstellungen"

"CP Repricing","Preissteuerung"
"CP Repricing Settings","Preissteuerung konfigurieren"
"CP General Repricing","Globale Preissteuerung"
"CP Field for price","Preisfeld"
"CP This field would be overwritten by the new product price.","Dieses Preisfeld wird von dem neuen Preis überschrieben."
"CP Save prices net or gross?","Preis in netto oder brutto speichern?"

"CP ChannelPilot-Payment","ChannelPilot Payment"
"CP !!!This is no real payment method!!!","!!!Das ist keine richtige Zahlmethode!!!"
"CP Title","Bezeichnung"
"CP Order Status","Bestellstatus"
"CP Payment Types","Zahlarten"

"CP Activate?","Aktivieren?"
"CP Add","Hinzufügen"
"CP Delete","Löschen"
"CP OrderStatus Imported (payed)?","Status von importierten bezahlten Bestellungen?"
"CP OrderStatus Imported (unpayed)?","Status von importierten nicht bezahlten Bestellungen?"

"This shipping method is currently unavailable.","Diese Versandart ist derzeit nicht verfügbar."
"CP ChannelPilot - Shipping Method", "ChannelPilot - Versandmethode"
"CP Enabled","Aktiviert"
"CP Use for backend only","Nur im Backend-Bereich aktivieren"
"CP Title","Titel"
"CP Method Name","Name der Versandart"
"CP Price","Preis"
"CP Ship to Applicable Countries","Versand an verfügbare Länder"
"CP Show Method if Not Applicable","Versandart anzeigen wenn diese nicht verfügbar ist"
"CP Ship to Specific Countries","Versand nur in folgende Länder"
"CP Displayed Error Message","Angezeigte Fehlermeldung"
"CP Sort Order","Sortierreihenfolge"

"CP Tracking Method","Tracking Methode"
"CP Image","Bild"
"CP JavaScript","JavaScript"

"CP Use Admin Mode for order import","Admin-Modus für den Import der Marktplatzbestellungen benutzen"
"CP When importing marketplace orders you can use the admin mode. When choosing the admin mode please note that all checks are disabled thar are normally applied, like: ordering a product which amount is less than the configured minimum allowed quantity in shopping cart, import orders which have products that are sold out or the available amount is less than the ordered amount.","Wenn Marktplatzbestellungen importiert werden kann der Admin-Modus genutz werden. Sollte dieser genutzt werden dann bedenken Sie bitte, dass sämtliche Prüfungen nicht durchlaufen werden die es normalerweise tun, wie: die bestellte Menge ist geringer als die eingestellte Mindestbestellmenge; Bestellungen werden importiert die Produkte haben die ausverkauft oder nur noch in einer geringeren Stückzahl vorhanden sind."

"CP Export Method","Exportmethode"
"CP If you choose the indexed method, make sure that the 'Channelpilot Product Feed Export' index is always up to date. Please note, that if you select more than 40 data fields, that the indexed method will be used regardless of the selected option.","Wenn Sie die Methode 'Indiziert' wählen, dann müssen Sie sicherstellen, dass der Index 'Channelpilot Produktfeed-Export' immer aktuell ist. Sollten Sie mehr als 40 Datenfelder ausgewählt haben, wird, unabhängig davon welche Option Sie gewählt haben, der Modus 'Indiziert' verwendet."
"CP Live","Live"
"CP Indexed","Indiziert"
"CP Channelpilot Product Feed Export","ChannelPilot Produktfeed-Export"
"CP Index product data for the Channelpilot product feed export","Indiziert die Produktdaten für den ChannelPilot Produktfeed-Export"
"CP You have added more than %s data fields for the product feed export. Please note that with this amount the 'indexed' export method will re used regardless of the selected one. Keep in mind that you have to keep the ChannelPilot Product Feed Export index up to date.","Sie haben mehr als %s Datenfelder für den ChannelPilot Produktfeed-Export ausgewählt. Bitte beachten Sie, dass unabhängig von der gewählten Option, fortan der Exportmodus 'Indiziert' verwendet wird. Halten Sie daher bitte den ChannelPilot Produktfeed-Export-Index aktuell."
"CP Product ID","Produkt ID"
"CP Product SKU","Produkt SKU"
"CP Created At","Erstellt"
"CP Showing feed export data for product %s and store %s - Created at: %s","Zeige Exportdaten für das Produkt %s und Store %s - die Daten wurden erstellt am: %s"
"CP Please specify store.","Bitte geben Sie den Store an."
"CP The data has been deleted. Please reindex the export data.","Die Daten wurden gelöscht. Bitte reindizieren Sie die Exportdaten."
"CP Warning, this will delete all entries and the data has to be reindexed. Proceed ?","Warnung, sämtliche Exportdaten werden gelöscht. Möchten Sie fortfahren ?"
"CP Truncate Index Table","Indextabelle leeren"

"CP Default url: https://seller.api.channelpilot.com/3_2?wsdl", "Standard Url: https://seller.api.channelpilot.com/3_2?wsdl"
"CP Seller api wsdl url","Seller api wsdl url"

"CP Product Url Generation Method","Methode zur Erstellung der Produkt-URL"
"CP base url + url_path","Basis URL + url_path"
"CP base url + url_key","Basis URL + url_key"
"CP base url + url_key + .html","Basis URL + url_key + .html"
"CP Method getProductUrl","getProductUrl Methode"
"CP Method getUrlInStore","getUrlInStore Methode"

"CP In which field you want to save the externalTransactionId?","Wo wollen Sie die externalTransactionId gespeichert haben?"
